ts_name;time;unit;value;class
TS14;2020-05-12T18:00:00;Value;240;0
TS14;2020-05-12T19:00:00;Value;159;0
TS14;2020-05-12T20:00:00;Value;147;0
TS14;2020-05-12T21:00:00;Value;122;0
TS14;2020-05-12T22:00:00;Value;58;0
TS14;2020-05-12T23:00:00;Value;59;0
TS14;2020-05-13T00:00:00;Value;185;0
TS14;2020-05-13T01:00:00;Value;183;0
TS14;2020-05-13T02:00:00;Value;202;0
TS14;2020-05-13T03:00:00;Value;627;0
TS14;2020-05-13T04:00:00;Value;994;0
TS14;2020-05-13T05:00:00;Value;955;0
TS14;2020-05-13T06:00:00;Value;772;0
TS14;2020-05-13T07:00:00;Value;1242;0
TS14;2020-05-13T08:00:00;Value;844;0
TS14;2020-05-13T09:00:00;Value;764;0
TS14;2020-05-13T10:00:00;Value;749;0
TS14;2020-05-13T11:00:00;Value;726;0
TS14;2020-05-13T12:00:00;Value;916;0
TS14;2020-05-13T13:00:00;Value;1117;0
TS14;2020-05-13T14:00:00;Value;1379;0
TS14;2020-05-13T15:00:00;Value;838;0
TS14;2020-05-13T16:00:00;Value;768;0
TS14;2020-05-13T17:00:00;Value;478;0
TS14;2020-05-13T18:00:00;Value;292;0
TS14;2020-05-13T19:00:00;Value;148;0
TS14;2020-05-13T20:00:00;Value;102;0
TS14;2020-05-13T21:00:00;Value;105;0
TS14;2020-05-13T22:00:00;Value;77;0
TS14;2020-05-13T23:00:00;Value;191;0
TS14;2020-05-14T00:00:00;Value;189;0
TS14;2020-05-14T01:00:00;Value;235;0
TS14;2020-05-14T02:00:00;Value;839;0
TS14;2020-05-14T03:00:00;Value;672;0
TS14;2020-05-14T04:00:00;Value;855;0
TS14;2020-05-14T05:00:00;Value;861;0
TS14;2020-05-14T06:00:00;Value;938;0
TS14;2020-05-14T07:00:00;Value;918;0
TS14;2020-05-14T08:00:00;Value;898;0
TS14;2020-05-14T09:00:00;Value;714;0
TS14;2020-05-14T10:00:00;Value;829;0
TS14;2020-05-14T11:00:00;Value;707;0
TS14;2020-05-14T12:00:00;Value;1035;0
TS14;2020-05-14T13:00:00;Value;850;0
TS14;2020-05-14T14:00:00;Value;1023;0
TS14;2020-05-14T15:00:00;Value;1096;0
TS14;2020-05-14T16:00:00;Value;863;0
TS14;2020-05-14T17:00:00;Value;629;0
TS14;2020-05-14T18:00:00;Value;384;0
TS14;2020-05-14T19:00:00;Value;102;0
TS14;2020-05-14T20:00:00;Value;126;0
TS14;2020-05-14T21:00:00;Value;140;0
TS14;2020-05-14T22:00:00;Value;110;0
TS14;2020-05-14T23:00:00;Value;129;0
TS14;2020-05-15T00:00:00;Value;275;0
TS14;2020-05-15T01:00:00;Value;296;0
TS14;2020-05-15T02:00:00;Value;918;0
