ts_name;time;unit;value;class
TS29;2020-05-12T18:00:00;Value;125271;0
TS29;2020-05-12T19:00:00;Value;129082;0
TS29;2020-05-12T20:00:00;Value;135392;0
TS29;2020-05-12T21:00:00;Value;135592;0
TS29;2020-05-12T22:00:00;Value;140244;0
TS29;2020-05-12T23:00:00;Value;144129;0
TS29;2020-05-13T00:00:00;Value;145259;0
TS29;2020-05-13T01:00:00;Value;146097;0
TS29;2020-05-13T02:00:00;Value;148750;0
TS29;2020-05-13T03:00:00;Value;153223;0
TS29;2020-05-13T04:00:00;Value;152146;0
TS29;2020-05-13T05:00:00;Value;155109;0
TS29;2020-05-13T06:00:00;Value;171842;0
TS29;2020-05-13T07:00:00;Value;164440;0
TS29;2020-05-13T08:00:00;Value;160700;0
TS29;2020-05-13T09:00:00;Value;155925;0
TS29;2020-05-13T10:00:00;Value;145340;0
TS29;2020-05-13T11:00:00;Value;133205;0
TS29;2020-05-13T12:00:00;Value;127379;0
TS29;2020-05-13T13:00:00;Value;121298;0
TS29;2020-05-13T14:00:00;Value;117642;0
TS29;2020-05-13T15:00:00;Value;113553;0
TS29;2020-05-13T16:00:00;Value;114487;0
TS29;2020-05-13T17:00:00;Value;120982;0
TS29;2020-05-13T18:00:00;Value;126705;0
TS29;2020-05-13T19:00:00;Value;132582;0
TS29;2020-05-13T20:00:00;Value;134137;0
TS29;2020-05-13T21:00:00;Value;134736;0
TS29;2020-05-13T22:00:00;Value;140396;0
TS29;2020-05-13T23:00:00;Value;141007;0
TS29;2020-05-14T00:00:00;Value;143787;0
TS29;2020-05-14T01:00:00;Value;148904;0
TS29;2020-05-14T02:00:00;Value;148737;0
TS29;2020-05-14T03:00:00;Value;151667;0
TS29;2020-05-14T04:00:00;Value;154635;0
TS29;2020-05-14T05:00:00;Value;160726;0
TS29;2020-05-14T06:00:00;Value;169297;0
TS29;2020-05-14T07:00:00;Value;169358;0
TS29;2020-05-14T08:00:00;Value;170926;0
TS29;2020-05-14T09:00:00;Value;164638;0
TS29;2020-05-14T10:00:00;Value;150494;0
TS29;2020-05-14T11:00:00;Value;137062;0
