ts_name;time;unit;value;class
Series01;201803060900;Value;1744.3935;0
Series01;201803061000;Value;1654.4448;0
Series01;201803061100;Value;1350.6439;0
Series01;201803061200;Value;1021.4449;0
Series01;201803061300;Value;1127.1847;0
Series01;201803061400;Value;1954.9573;0
Series01;201803061500;Value;1664.6254;0
Series01;201803061600;Value;1052.3253;0
Series01;201803061700;Value;1816.2264;0
Series01;201803061800;Value;1026.5971;0
Series01;201803061900;Value;1439.7538;0
Series01;201803062000;Value;1017.3706;0
Series01;201803062100;Value;1313.0253;0
Series01;201803062200;Value;1664.8784;0
Series01;201803062300;Value;1141.3227;0
Series01;201803070000;Value;1616.8777;0
Series01;201803070100;Value;1465.4854;0
Series01;201803070200;Value;1885.8094;0
Series01;201803070300;Value;1873.6982;0
Series01;201803070400;Value;1200.8808;0
Series01;201803070500;Value;1773.1384;0
Series01;201803070600;Value;1343.5664;0
Series01;201803070700;Value;1296.2954;0
Series01;201803070800;Value;1944.4116;0
Series01;201803070900;Value;1711.6955;0
Series01;201803071000;Value;1324.5692;0
Series01;201803071100;Value;1422.9474;0
Series01;201803071200;Value;1820.6767;0
Series01;201803071300;Value;1202.7980;0
Series01;201803071400;Value;1441.9254;0
Series01;201803071500;Value;1620.5022;0
Series01;201803071600;Value;1974.4541;0
Series01;201803071700;Value;1371.8076;0
Series01;201803071800;Value;1861.4486;0
Series01;201803071900;Value;1778.4795;0
Series01;201803072000;Value;1462.3769;0
Series01;201803072100;Value;1298.5178;0
Series01;201803072200;Value;1007.7245;0
Series01;201803072300;Value;1692.7449;0
Series01;201803080000;Value;1417.9727;0
Series01;201803080100;Value;1240.7763;0
Series01;201803080200;Value;1030.1964;0
Series01;201803080300;Value;1438.0699;0
Series01;201803080400;Value;1338.9654;0
Series01;201803080500;Value;1923.3523;0
Series01;201803080600;Value;1216.8558;0
Series01;201803080700;Value;1681.0527;0
Series01;201803080800;Value;1828.1371;0
Series01;201803080900;Value;1340.8019;0
Series01;201803081000;Value;1562.5660;0
Series01;201803081100;Value;1421.0635;0
Series01;201803081200;Value;1373.3432;0
Series01;201803081300;Value;1407.0485;0
Series01;201803081400;Value;1657.3034;0
Series01;201803081500;Value;1798.2633;0
Series01;201803081600;Value;1516.5439;0
Series01;201803081700;Value;1742.6345;0
Series01;201803081800;Value;1544.2444;0
Series01;201803081900;Value;1644.9676;0
Series01;201803082000;Value;1134.4866;0
Series01;201803082100;Value;1907.4342;0
Series01;201803082200;Value;1390.3730;0
Series01;201803082300;Value;1244.5530;0
Series01;201803090000;Value;1759.9671;0
Series01;201803090100;Value;1961.9192;0
Series01;201803090200;Value;1341.8151;0
Series01;201803090300;Value;1824.8113;0
Series01;201803090400;Value;1989.3985;0
Series01;201803090500;Value;1625.9160;0
Series01;201803090600;Value;1389.0501;0
Series01;201803090700;Value;1195.9131;0
Series01;201803090800;Value;1909.6174;0
Series01;201803090900;Value;1603.5873;0
Series01;201803091000;Value;1838.1373;0
Series01;201803091100;Value;1979.9600;0
Series01;201803091200;Value;1663.3969;0
Series01;201803091300;Value;1488.2171;0
Series01;201803091400;Value;1698.9206;0
Series01;201803091500;Value;1371.2495;0
Series01;201803091600;Value;1347.8353;0
Series01;201803091700;Value;1160.7558;0
Series01;201803091800;Value;1685.1886;0
Series01;201803091900;Value;1625.3372;0
Series01;201803092000;Value;1571.3917;0
Series01;201803092100;Value;1599.6640;0
Series01;201803092200;Value;1020.2907;0
Series01;201803092300;Value;1655.4302;0
Series01;201803100000;Value;1591.4400;0
Series01;201803100100;Value;1220.6920;0
Series01;201803100200;Value;1971.9931;0
Series01;201803100300;Value;1702.5063;0
Series01;201803100400;Value;1014.5287;0
Series01;201803100500;Value;1355.8978;0
Series01;201803100600;Value;1281.5991;0
Series01;201803100700;Value;1871.6921;0
Series01;201803100800;Value;1243.4856;0
Series01;201803100900;Value;1960.7724;0
Series01;201803101000;Value;1385.8020;0
Series01;201803101100;Value;1806.9798;0
Series01;201803101200;Value;1924.4583;0
Series01;201803101300;Value;1481.8612;0
Series01;201803101400;Value;1211.3888;0
Series01;201803101500;Value;3.4358;1
Series01;201803101600;Value;4.1462;1
Series01;201803101700;Value;3.8968;1
Series01;201803101800;Value;8.0914;1
Series01;201803101900;Value;4.1433;1
Series01;201803102000;Value;3.7827;1
Series01;201803102100;Value;1.0000;1
Series01;201803102200;Value;2.7721;1
Series01;201803102300;Value;3.8207;1
Series01;201803110000;Value;6.0332;1
Series01;201803110100;Value;1675.6076;0
Series01;201803110200;Value;1877.8439;0
Series01;201803110300;Value;1198.6021;0
Series01;201803110400;Value;1640.7638;0
Series01;201803110500;Value;1477.2754;0
Series01;201803110600;Value;1516.3636;0
Series01;201803110700;Value;1127.8276;0
Series01;201803110800;Value;1617.6517;0
Series01;201803110900;Value;1256.3242;0
Series01;201803111000;Value;1895.6774;0
Series01;201803111100;Value;1480.6525;0
Series01;201803111200;Value;1971.0846;0
Series01;201803111300;Value;1833.4207;0
Series01;201803111400;Value;1243.0796;0
Series01;201803111500;Value;1100.1784;0
Series01;201803111600;Value;1489.7991;0
Series01;201803111700;Value;1763.9167;0
Series01;201803111800;Value;1360.3807;0
Series01;201803111900;Value;1864.3097;0
Series01;201803112000;Value;1398.4538;0
Series01;201803112100;Value;1431.4358;0
Series01;201803112200;Value;1755.1092;0
Series01;201803112300;Value;1098.2006;0
Series01;201803120000;Value;1441.5283;0
Series01;201803120100;Value;1803.8550;0
Series01;201803120200;Value;1579.5183;0
Series01;201803120300;Value;1378.6863;0
Series01;201803120400;Value;1218.3650;0
Series01;201803120500;Value;1807.8930;0
Series01;201803120600;Value;1170.1525;0
Series01;201803120700;Value;1918.1401;0
Series01;201803120800;Value;1302.1877;0
Series01;201803120900;Value;1752.1841;0
Series01;201803121000;Value;1616.2283;0
Series01;201803121100;Value;1728.5697;0
Series01;201803121200;Value;1323.2917;0
Series01;201803121300;Value;1043.0125;0
Series01;201803121400;Value;1669.8203;0
Series01;201803121500;Value;1648.8431;0
Series01;201803121600;Value;1693.3415;0
Series01;201803121700;Value;1537.6871;0
Series01;201803121800;Value;1920.1567;0
Series01;201803121900;Value;1271.6441;0
Series01;201803122000;Value;1542.4068;0
Series01;201803122100;Value;1279.8592;0
Series01;201803122200;Value;1169.8063;0
Series01;201803122300;Value;1839.8431;0
Series01;201803130000;Value;1487.3027;0
Series01;201803130100;Value;1847.6028;0
Series01;201803130200;Value;1316.5145;0
Series01;201803130300;Value;1925.1121;0
Series01;201803130400;Value;1154.2371;0
Series01;201803130500;Value;1286.2604;0
Series01;201803130600;Value;1198.6211;0
Series01;201803130700;Value;1508.8087;0
Series01;201803130800;Value;1608.6185;0
Series01;201803130900;Value;1847.2303;0
Series01;201803131000;Value;1422.3461;0
Series01;201803131100;Value;1630.4732;0
Series01;201803131200;Value;1779.8255;0
Series01;201803131300;Value;1565.9564;0
Series01;201803131400;Value;1330.0127;0
Series01;201803131500;Value;1822.0001;0
Series01;201803131600;Value;1734.6074;0
Series01;201803131700;Value;1345.9784;0
Series01;201803131800;Value;1702.7986;0
Series01;201803131900;Value;1970.0984;0
Series01;201803132000;Value;1971.5928;0
Series01;201803132100;Value;1466.1863;0
Series01;201803132200;Value;1182.7450;0
Series01;201803132300;Value;1580.4318;0
Series01;201803140000;Value;1616.3823;0
Series01;201803140100;Value;1137.9953;0
Series01;201803140200;Value;1621.0619;0
Series01;201803140300;Value;1741.5323;0
Series01;201803140400;Value;1049.5765;0
Series01;201803140500;Value;1679.9581;0
Series01;201803140600;Value;1566.1962;0
Series01;201803140700;Value;1908.4957;0
Series01;201803140800;Value;1653.1778;0
Series01;201803140900;Value;1314.5203;0
Series01;201803141000;Value;1295.6311;0
Series01;201803141100;Value;1554.3457;0
Series01;201803141200;Value;1472.3459;0
Series01;201803141300;Value;1823.6861;0
Series01;201803141400;Value;1739.4732;0
Series01;201803141500;Value;1389.5233;0
Series01;201803141600;Value;1329.4284;0
Series01;201803141700;Value;1445.1238;0
Series01;201803141800;Value;1265.6723;0
Series01;201803141900;Value;1818.2300;0
Series01;201803142000;Value;1598.2838;0
Series01;201803142100;Value;1829.1137;0
Series01;201803142200;Value;1314.4664;0
Series01;201803142300;Value;6.7652;1
Series01;201803150000;Value;5.6873;1
Series01;201803150100;Value;2.0357;1
Series01;201803150200;Value;7.3148;1
Series01;201803150300;Value;5.8209;1
Series01;201803150400;Value;1.6761;1
