ts_name;time;unit;value;class
Series01;201802252100;Value;0.0000;0
Series01;201802252200;Value;0.0175;0
Series01;201802252300;Value;0.0349;0
Series01;201802260000;Value;0.0523;0
Series01;201802260100;Value;0.0698;0
Series01;201802260200;Value;0.0872;0
Series01;201802260300;Value;0.1045;0
Series01;201802260400;Value;0.1219;0
Series01;201802260500;Value;0.1392;0
Series01;201802260600;Value;0.1564;0
Series01;201802260700;Value;0.1736;0
Series01;201802260800;Value;0.1908;0
Series01;201802260900;Value;0.2079;0
Series01;201802261000;Value;0.2250;0
Series01;201802261100;Value;0.2419;0
Series01;201802261200;Value;0.2588;0
Series01;201802261300;Value;0.2756;0
Series01;201802261400;Value;0.2924;0
Series01;201802261500;Value;0.3090;0
Series01;201802261600;Value;0.3256;0
Series01;201802261700;Value;0.3420;0
Series01;201802261800;Value;0.3584;0
Series01;201802261900;Value;0.3746;0
Series01;201802262000;Value;0.3907;0
Series01;201802262100;Value;0.4067;0
Series01;201802262200;Value;0.4226;0
Series01;201802262300;Value;0.4384;0
Series01;201802270000;Value;0.4540;0
Series01;201802270100;Value;0.4695;0
Series01;201802270200;Value;0.4848;0
Series01;201802270300;Value;0.5000;0
Series01;201802270400;Value;0.5150;0
Series01;201802270500;Value;0.5299;0
Series01;201802270600;Value;0.5446;0
Series01;201802270700;Value;0.5592;0
Series01;201802270800;Value;0.5736;0
Series01;201802270900;Value;0.5878;0
Series01;201802271000;Value;0.6018;0
Series01;201802271100;Value;0.6157;0
Series01;201802271200;Value;0.6293;0
Series01;201802271300;Value;0.6428;0
Series01;201802271400;Value;0.6561;0
Series01;201802271500;Value;0.6691;0
Series01;201802271600;Value;0.6820;0
Series01;201802271700;Value;0.6947;0
Series01;201802271800;Value;0.7071;0
Series01;201802271900;Value;0.7193;0
Series01;201802272000;Value;0.7314;0
Series01;201802272100;Value;0.7431;0
Series01;201802272200;Value;0.7547;0
Series01;201802272300;Value;0.7660;0
Series01;201802280000;Value;0.7771;0
Series01;201802280100;Value;0.7880;0
Series01;201802280200;Value;0.7986;0
Series01;201802280300;Value;0.8090;0
Series01;201802280400;Value;0.8192;0
Series01;201802280500;Value;0.8290;0
Series01;201802280600;Value;0.8387;0
Series01;201802280700;Value;0.8480;0
Series01;201802280800;Value;0.8572;0
Series01;201802280900;Value;0.8660;0
Series01;201802281000;Value;0.8746;0
Series01;201802281100;Value;0.8829;0
Series01;201802281200;Value;0.8910;0
Series01;201802281300;Value;0.8988;0
Series01;201802281400;Value;0.9063;0
