ts_name;time;unit;value;class
Series01;201802242000;Value;-0.198212;0
Series01;201802242100;Value;-0.636874;0
Series01;201802242200;Value;-1.18812;0
Series01;201802242300;Value;-0.961713;0
Series01;201802250000;Value;-1.70455;0
Series01;201802250100;Value;-2.14746;0
Series01;201802250200;Value;-2.97428;0
Series01;201802250300;Value;-2.41696;0
Series01;201802250400;Value;-2.15469;0
Series01;201802250500;Value;-2.33842;0
Series01;201802250600;Value;-2.5887;0
Series01;201802250700;Value;-1.98364;0
Series01;201802250800;Value;-0.586726;0
Series01;201802250900;Value;1.07751;0
Series01;201802251000;Value;2.10283;0
Series01;201802251100;Value;2.53041;0
Series01;201802251200;Value;-0.833534;0
Series01;201802251300;Value;0.140815;0
Series01;201802251400;Value;0.37226;0
Series01;201802251500;Value;1.3001;0
Series01;201802251600;Value;0.630808;0
Series01;201802251700;Value;2.43038;0
Series01;201802251800;Value;2.64754;0
Series01;201802251900;Value;2.17945;0
Series01;201802252000;Value;2.94238;0
Series01;201802252100;Value;2.79784;0
Series01;201802252200;Value;0.455657;0
Series01;201802252300;Value;0.25799;0
Series01;201802260000;Value;0.274016;0
Series01;201802260100;Value;-0.322027;0
Series01;201802260200;Value;-1.33799;0
Series01;201802260300;Value;-1.59732;0
Series01;201802260400;Value;-2.22133;0
Series01;201802260500;Value;-3.50223;0
Series01;201802260600;Value;-4.72009;0
Series01;201802260700;Value;-4.20295;0
Series01;201802260800;Value;-2.84293;0
Series01;201802260900;Value;-1.01244;0
Series01;201802261000;Value;-1.62763;0
Series01;201802261100;Value;-1.55081;0
Series01;201802261200;Value;-2.46701;0
Series01;201802261300;Value;-2.32639;0
Series01;201802261400;Value;-1.40115;0
Series01;201802261500;Value;-0.665514;0
Series01;201802261600;Value;-0.998793;0
Series01;201802261700;Value;-0.279006;0
Series01;201802261800;Value;0.0371082;0
Series01;201802261900;Value;0.00990116;0
Series01;201802262000;Value;0.25117;0
Series01;201802262100;Value;0.534868;0
Series01;201802262200;Value;0.291699;0
Series01;201802262300;Value;0.848645;0
Series01;201802270000;Value;-0.412732;0
Series01;201802270100;Value;0.553169;0
Series01;201802270200;Value;1.999;0
Series01;201802270300;Value;2.53057;0
Series01;201802270400;Value;2.98469;0
Series01;201802270500;Value;3.13853;0
Series01;201802270600;Value;1.37349;0
