ts_name;time;unit;value;class
KOP;2016-06-11T10:00:00.000;g/kg;10;0
KOP;2016-06-11T10:10:00.000;g/kg;9.8;0
KOP;2016-06-11T10:20:00.000;g/kg;10;0
KOP;2016-06-11T10:30:00.000;g/kg;9.9;0
KOP;2016-06-11T10:40:00.000;g/kg;10.1;0
KOP;2016-06-11T10:50:00.000;g/kg;10;0
KOP;2016-06-11T11:00:00.000;g/kg;10;0
KOP;2016-06-11T11:10:00.000;g/kg;10.2;0
KOP;2016-06-11T11:20:00.000;g/kg;10;0
KOP;2016-06-11T11:30:00.000;g/kg;10.2;0
KOP;2016-06-11T11:40:00.000;g/kg;10.2;0
KOP;2016-06-11T11:50:00.000;g/kg;10.6;0
KOP;2016-06-11T12:00:00.000;g/kg;10.4;0
KOP;2016-06-11T12:10:00.000;g/kg;10.6;0
KOP;2016-06-11T12:20:00.000;g/kg;10.6;0
KOP;2016-06-11T12:30:00.000;g/kg;9.6;0
KOP;2016-06-11T12:40:00.000;g/kg;10.4;0
KOP;2016-06-11T12:50:00.000;g/kg;10.4;0
KOP;2016-06-11T13:00:00.000;g/kg;9.8;0
KOP;2016-06-11T13:10:00.000;g/kg;10.4;0
KOP;2016-06-11T13:20:00.000;g/kg;9.9;0
KOP;2016-06-11T13:30:00.000;g/kg;10;0
KOP;2016-06-11T13:40:00.000;g/kg;9.8;0
KOP;2016-06-11T13:50:00.000;g/kg;9.2;0
KOP;2016-06-11T14:00:00.000;g/kg;9.5;0
KOP;2016-06-11T14:10:00.000;g/kg;9.7;0
KOP;2016-06-11T14:20:00.000;g/kg;9.9;0
KOP;2016-06-11T14:30:00.000;g/kg;10.2;0
KOP;2016-06-11T14:40:00.000;g/kg;10.4;0
KOP;2016-06-11T14:50:00.000;g/kg;10.6;0
KOP;2016-06-11T15:00:00.000;g/kg;10.8;0
KOP;2016-06-11T15:10:00.000;g/kg;10.7;0
KOP;2016-06-11T15:20:00.000;g/kg;10.2;0
KOP;2016-06-11T15:30:00.000;g/kg;9.5;0
KOP;2016-06-11T15:40:00.000;g/kg;9;0
KOP;2016-06-11T15:50:00.000;g/kg;9.1;0
KOP;2016-06-11T16:00:00.000;g/kg;9.5;0
KOP;2016-06-11T16:10:00.000;g/kg;9.9;0
KOP;2016-06-11T16:20:00.000;g/kg;9.6;0
KOP;2016-06-11T16:30:00.000;g/kg;9.6;0
KOP;2016-06-11T16:40:00.000;g/kg;9.4;0
KOP;2016-06-11T16:50:00.000;g/kg;9.4;0
KOP;2016-06-11T17:00:00.000;g/kg;9.3;0
KOP;2016-06-11T17:10:00.000;g/kg;9.5;0
KOP;2016-06-11T17:20:00.000;g/kg;9.4;0
KOP;2016-06-11T17:30:00.000;g/kg;9.5;0
KOP;2016-06-11T17:40:00.000;g/kg;9.7;0
KOP;2016-06-11T17:50:00.000;g/kg;9.8;0
