ts_name;time;unit;value;class
TS21;2020-04-01T18:42:00.000;Value;97;0
TS21;2020-04-01T18:43:00.000;Value;70;0
TS21;2020-04-01T18:44:00.000;Value;43;0
TS21;2020-04-01T18:45:00.000;Value;26;0
TS21;2020-04-01T18:46:00.000;Value;84;0
TS21;2020-04-01T18:47:00.000;Value;43;0
TS21;2020-04-01T18:48:00.000;Value;57;0
TS21;2020-04-01T18:49:00.000;Value;165;0
TS21;2020-04-01T18:50:00.000;Value;131;0
TS21;2020-04-01T18:51:00.000;Value;229;0
TS21;2020-04-01T18:52:00.000;Value;163;0
TS21;2020-04-01T18:53:00.000;Value;207;0
TS21;2020-04-01T18:54:00.000;Value;284;0
TS21;2020-04-01T18:55:00.000;Value;182;0
TS21;2020-04-01T18:56:00.000;Value;200;0
TS21;2020-04-01T18:57:00.000;Value;228;0
TS21;2020-04-01T18:58:00.000;Value;287;0
TS21;2020-04-01T18:59:00.000;Value;329;0
TS21;2020-04-01T19:00:00.000;Value;243;0
TS21;2020-04-01T19:01:00.000;Value;392;0
TS21;2020-04-01T19:02:00.000;Value;260;0
TS21;2020-04-01T19:03:00.000;Value;198;0
TS21;2020-04-01T19:04:00.000;Value;222;0
TS21;2020-04-01T19:05:00.000;Value;114;0
TS21;2020-04-01T19:06:00.000;Value;72;0
TS21;2020-04-01T19:07:00.000;Value;46;0
TS21;2020-04-01T19:08:00.000;Value;44;0
TS21;2020-04-01T19:09:00.000;Value;46;0
TS21;2020-04-01T19:10:00.000;Value;38;0
TS21;2020-04-01T19:11:00.000;Value;103;0
TS21;2020-04-01T19:12:00.000;Value;132;0
TS21;2020-04-01T19:13:00.000;Value;164;0
TS21;2020-04-01T19:14:00.000;Value;175;0
TS21;2020-04-01T19:15:00.000;Value;194;0
TS21;2020-04-01T19:16:00.000;Value;190;0
TS21;2020-04-01T19:17:00.000;Value;171;0
TS21;2020-04-01T19:18:00.000;Value;226;0
TS21;2020-04-01T19:19:00.000;Value;178;0
TS21;2020-04-01T19:20:00.000;Value;203;0
TS21;2020-04-01T19:21:00.000;Value;298;0
TS21;2020-04-01T19:22:00.000;Value;268;0
TS21;2020-04-01T19:23:00.000;Value;214;0
TS21;2020-04-01T19:24:00.000;Value;205;0
TS21;2020-04-01T19:25:00.000;Value;248;0
TS21;2020-04-01T19:26:00.000;Value;378;0
TS21;2020-04-01T19:27:00.000;Value;251;0
TS21;2020-04-01T19:28:00.000;Value;177;0
TS21;2020-04-01T19:29:00.000;Value;100;0
TS21;2020-04-01T19:30:00.000;Value;76;0
TS21;2020-04-01T19:31:00.000;Value;54;0
TS21;2020-04-01T19:32:00.000;Value;58;0
TS21;2020-04-01T19:33:00.000;Value;41;0
TS21;2020-04-01T19:34:00.000;Value;96;0
TS21;2020-04-01T19:35:00.000;Value;59;0
TS21;2020-04-01T19:36:00.000;Value;113;0
TS21;2020-04-01T19:37:00.000;Value;284;0
TS21;2020-04-01T19:38:00.000;Value;122;0
TS21;2020-04-01T19:39:00.000;Value;300;0
TS21;2020-04-01T19:40:00.000;Value;331;0
TS21;2020-04-01T19:41:00.000;Value;166;0
TS21;2020-04-01T19:42:00.000;Value;180;0
TS21;2020-04-01T19:43:00.000;Value;234;0
TS21;2020-04-01T19:44:00.000;Value;251;0
TS21;2020-04-01T19:45:00.000;Value;201;0
TS21;2020-04-01T19:46:00.000;Value;340;0
TS21;2020-04-01T19:47:00.000;Value;234;0
TS21;2020-04-01T19:48:00.000;Value;208;0
TS21;2020-04-01T19:49:00.000;Value;475;0
TS21;2020-04-01T19:50:00.000;Value;413;0
TS21;2020-04-01T19:51:00.000;Value;242;0
TS21;2020-04-01T19:52:00.000;Value;172;0
TS21;2020-04-01T19:53:00.000;Value;109;0
TS21;2020-04-01T19:54:00.000;Value;106;0
TS21;2020-04-01T19:55:00.000;Value;120;0
TS21;2020-04-01T19:56:00.000;Value;60;0
TS21;2020-04-01T19:57:00.000;Value;56;0
TS21;2020-04-01T19:58:00.000;Value;112;0
TS21;2020-04-01T19:59:00.000;Value;70;0
TS21;2020-04-01T20:00:00.000;Value;68;0
TS21;2020-04-01T20:01:00.000;Value;232;0
TS21;2020-04-01T20:02:00.000;Value;162;0
TS21;2020-04-01T20:03:00.000;Value;235;0
TS21;2020-04-01T20:04:00.000;Value;194;0
TS21;2020-04-01T20:05:00.000;Value;180;0
TS21;2020-04-01T20:06:00.000;Value;255;0
TS21;2020-04-01T20:07:00.000;Value;167;0
TS21;2020-04-01T20:08:00.000;Value;293;0
TS21;2020-04-01T20:09:00.000;Value;230;0
TS21;2020-04-01T20:10:00.000;Value;183;0
TS21;2020-04-01T20:11:00.000;Value;377;0
TS21;2020-04-01T20:12:00.000;Value;421;0
TS21;2020-04-01T20:13:00.000;Value;230;0
TS21;2020-04-01T20:14:00.000;Value;260;0
TS21;2020-04-01T20:15:00.000;Value;192;0
TS21;2020-04-01T20:16:00.000;Value;276;0
TS21;2020-04-01T20:17:00.000;Value;231;0
TS21;2020-04-01T20:18:00.000;Value;111;0
TS21;2020-04-01T20:19:00.000;Value;117;0
TS21;2020-04-01T20:20:00.000;Value;62;0
TS21;2020-04-01T20:21:00.000;Value;38;0
TS21;2020-04-01T20:22:00.000;Value;47;0
