label,time-stamp,sine-wave
0,1,0.0000
0,2,0.0175
0,3,0.0349
0,4,0.0523
0,5,0.0698
0,6,0.0872
0,7,0.1045
0,8,0.1219
0,9,0.1392
0,10,0.1564
0,11,0.1736
0,12,0.1908
0,13,0.2079
0,14,0.2250
0,15,0.2419
0,16,0.2588
0,17,0.2756
0,18,0.2924
0,19,0.3090
0,20,0.3256
0,21,0.3420
0,22,0.3584
0,23,0.3746
0,24,0.3907
0,25,0.4067
0,26,0.4226
0,27,0.4384
0,28,0.4540
0,29,0.4695
0,30,0.4848
0,31,0.5000
0,32,0.5150
0,33,0.5299
0,34,0.5446
0,35,0.5592
0,36,0.5736
0,37,0.5878
0,38,0.6018
0,39,0.6157
0,40,0.6293
0,41,0.6428
0,42,0.6561
0,43,0.6691
0,44,0.6820
1,45,0.2848
1,46,1.0135
1,47,0.4584
1,48,0.3657
1,49,0.3528
1,50,0.4287
1,51,0.4795
1,52,0.5548
1,53,0.4418
1,54,0.5391
0,55,0.8090
0,56,0.8192
0,57,0.8290
0,58,0.8387
0,59,0.8480
0,60,0.8572
0,61,0.8660
0,62,0.8746
0,63,0.8829
0,64,0.8910
0,65,0.8988
0,66,0.9063
0,67,0.9135
0,68,0.9205
0,69,0.9272
0,70,0.9336
0,71,0.9397
0,72,0.9455
0,73,0.9511
0,74,0.9563
0,75,0.9613
0,76,0.9659
0,77,0.9703
0,78,0.9744
0,79,0.9781
0,80,0.9816
0,81,0.9848
0,82,0.9877
0,83,0.9903
0,84,0.9925
0,85,0.9945
0,86,0.9962
0,87,0.9976
0,88,0.9986
0,89,0.9994
0,90,0.9998
0,91,1.0000
0,92,0.9998
0,93,0.9994
0,94,0.9986
0,95,0.9976
0,96,0.9962
0,97,0.9945
0,98,0.9925
0,99,0.9903
1,100,1.3301
1,101,1.4731
1,102,0.6997
1,103,1.3476
1,104,0.7229
1,105,1.2186
1,106,1.3273
1,107,1.2929
1,108,0.6848
1,109,1.3155
0,110,0.9455
0,111,0.9397
0,112,0.9336
0,113,0.9272
0,114,0.9205
0,115,0.9135
0,116,0.9063
0,117,0.8988
0,118,0.8910
0,119,0.8829
0,120,0.8746
0,121,0.8660
0,122,0.8572
0,123,0.8480
0,124,0.8387
0,125,0.8290
0,126,0.8192
0,127,0.8090
0,128,0.7986
0,129,0.7880
0,130,0.7771
0,131,0.7660
0,132,0.7547
0,133,0.7431
0,134,0.7314
0,135,0.7193
0,136,0.7071
0,137,0.6947
0,138,0.6820
0,139,0.6691
0,140,0.6561
0,141,0.6428
0,142,0.6293
0,143,0.6157
0,144,0.6018
0,145,0.5878
0,146,0.5736
0,147,0.5592
0,148,0.5446
0,149,0.5299
0,150,0.5150
0,151,0.5000
0,152,0.4848
0,153,0.4695
0,154,0.4540
0,155,0.4384
0,156,0.4226
0,157,0.4067
1,158,-0.0243
1,159,0.8195
1,160,0.1497
1,161,0.7044
1,162,-0.0358
1,163,0.5712
1,164,-0.0685
1,165,0.6795
1,166,0.6440
1,167,-0.2571
1,168,0.0120
1,169,0.5699
1,170,-0.0837
1,171,0.6546
1,172,-0.0781
1,173,-0.1353
1,174,0.4031
1,175,-0.1348
1,176,0.5482
1,177,0.5362
1,178,0.4462
1,179,0.2904
1,180,-0.2656
1,181,-0.3936
1,182,-0.2705
1,183,0.4067
1,184,-0.3191
1,185,-0.5180
1,186,0.2000
1,187,0.3800
1,188,-0.4517
1,189,-0.3910
1,190,-0.4416
1,191,-0.4165
1,192,-0.5039
1,193,0.2442
1,194,-0.6494
1,195,0.1714
1,196,0.1073
0,197,-0.2756
0,198,-0.2924
0,199,-0.3090
0,200,-0.3256
0,201,-0.3420
0,202,-0.3584
0,203,-0.3746
0,204,-0.3907
0,205,-0.4067
0,206,-0.4226
0,207,-0.4384
0,208,-0.4540
0,209,-0.4695
0,210,-0.4848
0,211,-0.5000
0,212,-0.5150
0,213,-0.5299
0,214,-0.5446
0,215,-0.5592
0,216,-0.5736
0,217,-0.5878
0,218,-0.6018
0,219,-0.6157
0,220,-0.6293
0,221,-0.6428
0,222,-0.6561
0,223,-0.6691
0,224,-0.6820
0,225,-0.6947
0,226,-0.7071
0,227,-0.7193
0,228,-0.7314
0,229,-0.7431
0,230,-0.7547
0,231,-0.7660
0,232,-0.7771
0,233,-0.7880
0,234,-0.7986
0,235,-0.8090
0,236,-0.8192
0,237,-0.8290
0,238,-0.8387
1,239,-1.2525
1,240,-1.3049
1,241,-1.1118
1,242,-0.6069
1,243,-1.3745
1,244,-0.4344
1,245,-0.5164
1,246,-1.3572
1,247,-1.2586
1,248,-1.3069
1,249,-1.1363
1,250,-0.4375
1,251,-0.6943
1,252,-1.2279
1,253,-0.5158
1,254,-0.6063
1,255,-1.2731
1,256,-1.4638
1,257,-0.4994
1,258,-0.7385
1,259,-0.7369
1,260,-1.2228
1,261,-0.7046
1,262,-0.7015
1,263,-0.5291
1,264,-0.5658
1,265,-1.4174
1,266,-0.4997
1,267,-1.4340
1,268,-1.3103
1,269,-0.7262
1,270,-1.3914
1,271,-1.3640
1,272,-0.7883
1,273,-1.2245
1,274,-1.2042
1,275,-0.7754
1,276,-0.5841
1,277,-0.5945
1,278,-1.4315
1,279,-1.2073
1,280,-0.5387
1,281,-0.5577
1,282,-1.4337
1,283,-0.7602
1,284,-0.6400
1,285,-0.6222
1,286,-0.5871
1,287,-1.3615
1,288,-1.1898
1,289,-1.3887
1,290,-1.2616
1,291,-0.5053
1,292,-1.1943
1,293,-1.3081
1,294,-0.6867
1,295,-0.6019
1,296,-0.5119
1,297,-0.6373
1,298,-1.2297
1,299,-0.4176
1,300,-0.5364
1,301,-1.2642
1,302,-0.4693
1,303,-0.3687
1,304,-0.4244
1,305,-1.1172
1,306,-0.5749
1,307,-1.0571
1,308,-0.3239
1,309,-1.2636
1,310,-1.0222
1,311,-0.2939
1,312,-1.0640
1,313,-0.3022
1,314,-0.4353
1,315,-0.3115
1,316,-0.9466
1,317,-0.3544
1,318,-0.9084
1,319,-0.9585
1,320,-0.9412
1,321,-0.2580
1,322,-0.1339
1,323,-0.3790
1,324,-0.3476
1,325,-0.9541
1,326,-1.0513
1,327,-0.1625
1,328,-0.7944
1,329,-0.9875
1,330,-0.0700
1,331,-0.8687
1,332,-0.0682
1,333,-0.8947
1,334,-0.9230
1,335,-0.6450
1,336,-0.8652
1,337,-0.6629
1,338,-0.0066
1,339,-0.7476
1,340,-0.7512
1,341,-0.7616
1,342,0.0002
1,343,0.0596
1,344,0.0167
1,345,-0.6849
1,346,-0.5304
1,347,0.0077
1,348,-0.6457
1,349,-0.5676
1,350,-0.5895
1,351,0.1420
1,352,0.2105
1,353,-0.5245
1,354,-0.5916
1,355,-0.5426
1,356,0.2644
1,357,0.2811
1,358,-0.5341
1,359,0.4576
1,360,0.1891
1,361,-0.2845
1,362,-0.3902
1,363,-0.1957
1,364,-0.3263
1,365,0.5026
1,366,-0.3900
1,367,-0.1264
1,368,0.5133
1,369,-0.1265
1,370,0.4983
1,371,-0.1341
1,372,0.3946
1,373,-0.0106
1,374,0.5375
1,375,0.6997
1,376,-0.1109
1,377,0.5451
1,378,0.6164
1,379,0.6231
1,380,0.7585
